title,price,region,property_size_sqm,bedrooms,bathrooms,furnishing,listing_by,user_id,is_owner,can_view_contacts,status,property_url,description,property_address,estate_name,condition,toilets,seller_or_agent_name,time_on_jiji
2bdrm Mansion in Malaa for sale,2700000,"Kamulu, Malaa",5000,2,2,Semi-Furnished,,2107273,False,True,active,/malaa/houses-apartments-for-sale/2bdrm-mansion-in-malaa-for-sale-tX8efeJIlgtzLzBfB3SSX4W.html,,"Nairobi, Kamulu, Malaa, 10 min ago",,Uncompleted Building,2,Benard M. Mwanthi,5 y 8 m on Jiji
3bdrm Apartment in Kileleshwa for sale,28000000,"Nairobi, Kileleshwa",200,3,3,Unfurnished,,5306537,False,True,active,/kileleshwa/houses-apartments-for-sale/3bdrm-apartment-in-kileleshwa-for-sale-B0zjU1zbeqLzHuwMwZxaxlX0.html,,"Nairobi, Kileleshwa, 3 hours ago",,Fairly Used,,Tysons Limited,1 y 10 m on Jiji
"2bdrm Apartment in Kilimani, Hurlingham for sale",15000000,"Kilimani, Hurlingham",96,2,2,Unfurnished,,5306537,False,True,active,/hurlingham/houses-apartments-for-sale/2bdrm-apartment-in-kilimani-hurlingham-for-sale-BwaJDiZo5IUgTY2PbCugr5vr.html,,"Nairobi, Kilimani, Hurlingham, 3 hours ago",,Newly-Built,,Tysons Limited,1 y 10 m on Jiji
3bdrm Bungalow in Kitengela for sale,5800000,"Kajiado, Kitengela",180,3,2,Unfurnished,Agent,537744,False,True,active,/kitengela/houses-apartments-for-sale/3bdrm-bungalow-in-kitengela-for-sale-hBbDZoEsLSMsjoymOYSoPMMM.html,,"Kajiado, Kitengela, 11 min ago",,Newly-Built,3,Homestage kenya ltd,6 y 1 m on Jiji
"4bdrm Apartment in Hatheru Road, Lavington for sale",24000000,"Nairobi, Lavington",266,4,4,Unfurnished,Agent,2357415,False,True,active,/lavington/houses-apartments-for-sale/4bdrm-apartment-in-hatheru-road-lavington-for-sale-Puf8KG56FbwahuJbhmR3b6Q.html,,"Nairobi, Lavington, 10 min ago",,Newly-Built,5,Fair Homes Kenya,5 y 3 m on Jiji
"Furnished 4bdrm Apartment in Oledume Road, Lavington for sale",30000000,"Nairobi, Lavington",265,4,4,Furnished,Agent,2357415,False,True,active,/lavington/houses-apartments-for-sale/furnished-4bdrm-apartment-in-oledume-road-lavington-for-sale-igIa9Y8MvyfsCL8RPmI5mSvA.html,,"Nairobi, Lavington, 10 min ago",,Newly-Built,5,Fair Homes Kenya,5 y 3 m on Jiji
4bdrm Apartment in Kilimani for sale,30000000,"Nairobi, Kilimani",258,4,4,Unfurnished,,4594030,False,True,active,/kilimani/houses-apartments-for-sale/4bdrm-apartment-in-kilimani-for-sale-wcJc7PYAbtAwQHsnkRQV2zYy.html,,"Nairobi, Kilimani, 3 hours ago",,Under construction,,PATTO AGENT,2 y 9 m on Jiji
"2bdrm Apartment in Hilltop Apartments, Ngong for sale",6000000,"Kajiado, Ngong",100,2,2,Unfurnished,Agent,2031857,False,True,active,/ngong/houses-apartments-for-sale/2bdrm-apartment-in-hilltop-apartments-ngong-for-sale-8bcINKTelacmZ27RDJnBwSJ0.html,,"Kajiado, Ngong, 10 min ago",,Under construction,2,Harrison Wahome,5 y 10 m on Jiji
4bdrm Mansion in Runda for sale,95000000,"Nairobi, Runda",450,4,4,Unfurnished,Agent,2035639,False,True,active,/karura/houses-apartments-for-sale/4bdrm-mansion-in-runda-for-sale-sIwRZT9eUDQFe9VbcypVvXvd.html,,"Nairobi, Runda, 10 min ago",,Fairly Used,5,Mimshakh Dunamis Global Ltd,5 y 10 m on Jiji
"5bdrm Maisonette in Kiserian, Isinya for sale",36000000,"Kajiado, Isinya",200,5,6,Unfurnished,Agent,4624007,False,True,active,/isinya/houses-apartments-for-sale/5bdrm-maisonette-in-kiserian-isinya-for-sale-2t4DlCwcgRXiMORKoXWbz5fV.html,,"Kajiado, Isinya, 3 hours ago",,Newly-Built,6,Swalam Limited,2 y 9 m on Jiji
5bdrm Maisonette in Ruiru Githungiri for sale,29500000,"Kiambu, Ruiru",100,5,5,Unfurnished,Agent,3034376,False,True,active,/ruiru/houses-apartments-for-sale/5bdrm-maisonette-in-ruiru-githungiri-for-sale-8wPB3X4QKNbu458JbfwgooJ8.html,,"Kiambu, Ruiru, 3 hours ago",,Newly-Built,6,The Super Agent,4 y 6 m on Jiji
"3bdrm Bungalow in Kimunyu, Kenyatta Road / Theta  for sale",8900000,"Juja, Kenyatta Road / Theta ",3200,3,2,Unfurnished,,799803,False,True,active,/theta/houses-apartments-for-sale/3bdrm-bungalow-in-kimunyu-kenyatta-road-theta-for-sale-gfRPhhy0Xkzv06zFXyaG0Mgn.html,,"Kiambu, Juja, Kenyatta Road / Theta , 11 min ago",,Fairly Used,2,Liz K,6 y 1 m on Jiji
"4bdrm Apartment in Gitanga Rd, Lavington for sale",24000000,"Nairobi, Lavington",135,4,3,Unfurnished,,1901674,False,True,active,/lavington/houses-apartments-for-sale/4bdrm-apartment-in-gitanga-rd-lavington-for-sale-CmdGGDoCyhXfPJh11kGscq4p.html,,"Nairobi, Lavington, 10 min ago",,Fairly Used,3,Homely Realtors,6 y 1 m on Jiji
"3bdrm Bungalow in Matangi Kwa Mundia, Kiambu / Kiambu for sale",8000000,"Kiambu, Kiambu / Kiambu ",3200,3,3,Unfurnished,,2260468,False,True,active,/kiambu-kiambu/houses-apartments-for-sale/3bdrm-bungalow-in-matangi-kwa-mundia-kiambu-kiambu-for-sale-hnph544hSgRJDU5Hn0OVndcL.html,,"Kiambu, Kiambu / Kiambu , 10 min ago",,Newly-Built,3,Bedan Kamau,5 y 5 m on Jiji
"3bdrm House in Kiamunyi, Menengai West for sale",6500000,"Rongai, Menengai West",50,3,3,Unfurnished,,1419036,False,True,active,/menengai-west/houses-apartments-for-sale/3bdrm-house-in-kiamunyi-menengai-west-for-sale-a4Xei4aSBB2xnLkshf2SIMYh.html,,"Nakuru, Rongai, Menengai West, 11 min ago",,Newly-Built,3,Rich Sam Realtors,6 y 1 m on Jiji
1bdrm Apartment in Kileleshwa for sale,7500000,"Nairobi, Kileleshwa",78,1,1,Unfurnished,,1440182,False,True,active,/kileleshwa/houses-apartments-for-sale/1bdrm-apartment-in-kileleshwa-for-sale-zbGdkFNX5YPN6yeWoP9ysUDm.html,,"Nairobi, Kileleshwa, 11 min ago",,Under construction,1,Leissure Homes Kenya,6 y 1 m on Jiji
3bdrm Apartment in Kilimani for sale,13500000,"Nairobi, Kilimani",125,3,3,Unfurnished,,1440182,False,True,active,/kilimani/houses-apartments-for-sale/3bdrm-apartment-in-kilimani-for-sale-63QYTayQRwz5G3BHop1QX2bx.html,,"Nairobi, Kilimani, 11 min ago",,Newly-Built,2,Leissure Homes Kenya,6 y 1 m on Jiji
"Furnished 1bdrm Apartment in Alba Apartments, Dagoretti Corner",4470000,"Dagoretti, Dagoretti Corner",47,1,1,Furnished,Agent,1428976,False,True,active,/dagoretti-corner/houses-apartments-for-sale/furnished-1bdrm-apartment-in-alba-apartments-dagoretti-corner-CkFYQ60HFpFd2XNDiWKllbmV.html,,"Nairobi, Dagoretti, Dagoretti Corner, 11 min ago",,Newly-Built,1,Array Real Estate ltd,6 y 1 m on Jiji
"6bdrm Maisonette in 6 Br On Half Acre, Ganda for sale",65000000,"Malindi, Ganda",200,6,3,Unfurnished,,1428976,False,True,active,/ganda/houses-apartments-for-sale/6bdrm-maisonette-in-6-br-on-half-acre-ganda-for-sale-C7lyoqdKJQ5rE76NcfMM4rBG.html,,"Kilifi, Malindi, Ganda, 11 min ago",,Fairly Used,,Array Real Estate ltd,6 y 1 m on Jiji
Furnished 3bdrm Bungalow in Juja for sale,9000000,"Kiambu, Juja",1080,3,2,Furnished,Agent,1452607,False,True,active,/juja/houses-apartments-for-sale/furnished-3bdrm-bungalow-in-juja-for-sale-OEx7HmpmpSkT3wbMDIpLZJz.html,,"Kiambu, Juja, 11 min ago",,Newly-Built,2,MartoNjoro,6 y 1 m on Jiji
"2bdrm Bungalow in 2Br Own Compound, Karai for sale",6300000,"Kikuyu, Karai",100,2,2,Unfurnished,Agent,1428976,False,True,active,/karai/houses-apartments-for-sale/2bdrm-bungalow-in-2br-own-compound-karai-for-sale-crVTOnWPcpEI8CA4pJmc6fyf.html,,"Kiambu, Kikuyu, Karai / Kikuyu, 11 min ago",,Fairly Used,2,Array Real Estate ltd,6 y 1 m on Jiji
"1bdrm Apartment in All Ensuite 1,2,3, Kangemi for sale",7000000,"Nairobi, Kangemi",,1,1,Semi-Furnished,,1428976,False,True,active,/kangemi/houses-apartments-for-sale/1bdrm-apartment-in-all-ensuite-1-2-3-kangemi-for-sale-fmd9CYBZ2DifkKl87SPx6v5i.html,,"Nairobi, Kangemi, 11 min ago",,Newly-Built,,Array Real Estate ltd,6 y 1 m on Jiji
"6bdrm Maisonette in 6Br All Ensuite With, Karai for sale",22000000,"Kikuyu, Karai",350,6,6,Unfurnished,,1428976,False,True,active,/karai/houses-apartments-for-sale/6bdrm-maisonette-in-6br-all-ensuite-with-karai-for-sale-7ZMEHl3Z7EUPntThsmQfhjEi.html,,"Kiambu, Kikuyu, Karai / Kikuyu, 11 min ago",,Off-Plan,7,Array Real Estate ltd,6 y 1 m on Jiji
3bdrm Bungalow in Kitengela for sale,8000000,"Kajiado, Kitengela",190,3,4,Unfurnished,Agent,1977193,False,True,active,/kitengela/houses-apartments-for-sale/3bdrm-bungalow-in-kitengela-for-sale-eu3tls1n2uAeLKwIWHeBTlN.html,,"Kajiado, Kitengela, 11 min ago",,Newly-Built,,Property By Fridah,5 y 11 m on Jiji
3bdrm Apartment in Nyali for sale,18500000,"Mombasa, Nyali",2450,3,4,Unfurnished,,1758750,False,True,active,/nyali/houses-apartments-for-sale/3bdrm-apartment-in-nyali-for-sale-BsyTaKYb7jfIXwf0INONT9Hb.html,,"Mombasa, Nyali, 1 hour ago",,Off-Plan,,SAFI REEF HOMES,6 y 1 m on Jiji
3bdrm Apartment in Nyali for Sale,7850000,"Mombasa, Nyali",,3,2,Unfurnished,,1758750,False,True,active,/nyali/houses-apartments-for-sale/3bdrm-apartment-in-nyali-for-sale-add74f9Fjmc6s2dwWrI79mJJ.html,,"Mombasa, Nyali, 1 hour ago",,,,SAFI REEF HOMES,6 y 1 m on Jiji
"3bdrm Bungalow in Kiamumbi, Kiambu / Kiambu for Sale",18500000,"Kiambu, Kiambu / Kiambu ",200,3,2,Unfurnished,,1495040,False,True,active,/kiambu-kiambu/houses-apartments-for-sale/3bdrm-bungalow-in-kiamumbi-kiambu-kiambu-for-sale-zQxtRyNRcWIpyYx5M1NvuvEo.html,,"Kiambu, Kiambu / Kiambu , 11 min ago",,Fairly Used,,Geoffrey,6 y 1 m on Jiji
"5bdrm Maisonette in Membely, Membley Estate for sale",23500000,"Ruiru, Membley Estate",369,5,5,Unfurnished,Agent,2804062,False,True,active,/membley-estate/houses-apartments-for-sale/5bdrm-maisonette-in-membely-membley-estate-for-sale-wgKWeCvI8SvfGqneW0i6Mn6x.html,,"Kiambu, Ruiru, Membley Estate, 10 min ago",,Newly-Built,5,jpert properties,4 y 9 m on Jiji
3bdrm Apartment in Kilimani for sale,14000000,"Nairobi, Kilimani",500,3,4,Unfurnished,,2163321,False,True,active,/kilimani/houses-apartments-for-sale/3bdrm-apartment-in-kilimani-for-sale-tCiAtkeeUFyvN3OCXdVmWwU2.html,,"Nairobi, Kilimani, 11 min ago",,Newly-Built,4,comfort,5 y 7 m on Jiji
4bdrm House in Ruiru for sale,100000000,"Kiambu, Ruiru",400,4,4,Unfurnished,Agent,3195412,False,True,active,/ruiru/houses-apartments-for-sale/4bdrm-house-in-ruiru-for-sale-nJswB5jelhOEs7gwlX0yLGg.html,,"Kiambu, Ruiru, 11 min ago",,Newly-Built,4,Jayhenrys Holdings,4 y 4 m on Jiji
"3bdrm Bungalow in Mugutha, Ruiru for sale",10500000,"Kiambu, Ruiru",140,3,3,Unfurnished,Agent,3195412,False,True,active,/ruiru/houses-apartments-for-sale/3bdrm-bungalow-in-mugutha-ruiru-for-sale-pUT9BtJPWgmDBzqYkuqrspGF.html,,"Kiambu, Ruiru, 11 min ago",,Newly-Built,2,Jayhenrys Holdings,4 y 4 m on Jiji
3bdrm Bungalow in Juja for sale,6500000,"Kiambu, Juja",150,3,3,Unfurnished,Agent,3195412,False,True,active,/juja/houses-apartments-for-sale/3bdrm-bungalow-in-juja-for-sale-k2dWFnqVc6wOd2t6rmCxXExw.html,,"Kiambu, Juja, 11 min ago",,Newly-Built,4,Jayhenrys Holdings,4 y 4 m on Jiji
"6bdrm Villa in Posta, Mtwapa for sale",38000000,"Kilifi, Mtwapa",2500,6,5,Unfurnished,,3221861,False,True,active,/mtwapa/houses-apartments-for-sale/6bdrm-villa-in-posta-mtwapa-for-sale-uvzT6eAenoAXw77iGrOZhcBZ.html,,"Kilifi, Mtwapa, 11 min ago",,Fairly Used,,Sky Miles Properties,4 y 4 m on Jiji
"3bdrm Maisonette in Serena, Shanzu for sale",39500000,"Mombasa, Shanzu",2000,3,3,Unfurnished,,3221861,False,True,active,/shanzu/houses-apartments-for-sale/3bdrm-maisonette-in-serena-shanzu-for-sale-w971D6zPYw8jKfncpARDGmpL.html,,"Mombasa, Shanzu, 11 min ago",,Fairly Used,,Sky Miles Properties,4 y 4 m on Jiji
4bdrm House in Kiambu for sale,35000000,"Kiambu, Kiambu / Kiambu ",380,4,4,Unfurnished,Agent,5783537,False,True,active,/kiambu-kiambu/houses-apartments-for-sale/4bdrm-house-in-kiambu-for-sale-5xclCwcJnwI25U3fPrIozwg3.html,,"Kiambu, Kiambu / Kiambu , 3 hours ago",,Newly-Built,5,Affinity Homes,1 y on Jiji
5bdrm Maisonette in Buruburu 4 for sale,19800000,"Makadara, BuruBuru",750,5,4,Unfurnished,,1945484,False,True,active,/buruburu/houses-apartments-for-sale/5bdrm-maisonette-in-buruburu-4-for-sale-31hQduYZFvdP09zenGd9CRTQ.html,,"Nairobi, Makadara, BuruBuru, 11 min ago",,Fairly Used,,Elias Njuguna,6 y on Jiji
"3bdrm Bungalow in Matangi, Ruiru for sale",7400000,"Kiambu, Ruiru",4060,3,3,Unfurnished,,1250869,False,True,active,/ruiru/houses-apartments-for-sale/3bdrm-bungalow-in-matangi-ruiru-for-sale-fi8d70RteyIQR8TDVCODxbh7.html,,"Kiambu, Ruiru, 12 min ago",,Newly-Built,,Peter M Ndungu,6 y 1 m on Jiji
"2bdrm Apartment in Kilimani, Hurlingham for sale",13000000,"Kilimani, Hurlingham",115,2,2,Unfurnished,,1250018,False,True,active,/hurlingham/houses-apartments-for-sale/2bdrm-apartment-in-kilimani-hurlingham-for-sale-nBlkzVgRxv9uejhskKrEHQIj.html,,"Nairobi, Kilimani, Hurlingham, 12 min ago",,Under construction,,Simkar,6 y 1 m on Jiji
"4bdrm Mansion in Ngata, Nakuru Town West for sale",15000000,"Nakuru, Nakuru Town West",450,4,4,Semi-Furnished,Agent,2223137,False,True,active,/nakuru-town-west/houses-apartments-for-sale/4bdrm-mansion-in-ngata-nakuru-town-west-for-sale-BELPPOOxVb6b9M4MucsWOhx3.html,,"Nakuru, Nakuru Town West, 11 min ago",,Newly-Built,4,Bonny Bonny,5 y 5 m on Jiji
3bdrm Bungalow in Bamburi for sale,9000000,"Mombasa, Bamburi",300,3,2,Unfurnished,Agent,373045,False,True,active,/bamburi/houses-apartments-for-sale/3bdrm-bungalow-in-bamburi-for-sale-kHXMKCAgbvg9A09jxlyLQtJz.html,,"Mombasa, Bamburi, 12 min ago",,Fairly Used,2,FURAHA PROPERTIES,6 y 1 m on Jiji
5bdrm House in Runda Estate for Sale,67000000,"Nairobi, Runda",450,5,5,Unfurnished,,2237195,False,True,active,/karura/houses-apartments-for-sale/5bdrm-house-in-runda-estate-for-sale-lm0ruUB21aQbaUsZbEX84OL8.html,,"Nairobi, Runda, 11 min ago",,Newly-Built,,SPLENDOR HOLDINGS,5 y 5 m on Jiji
5bdrm Townhouse in Muthangari for Sale,75000000,"Lavington, Muthangari",600,5,5,Unfurnished,,2237195,False,True,active,/muthangari/houses-apartments-for-sale/5bdrm-townhouse-in-muthangari-for-sale-zLdI3HzeQuscRHeO31ehVyJi.html,,"Nairobi, Lavington, Muthangari, 11 min ago",,Newly-Built,,SPLENDOR HOLDINGS,5 y 5 m on Jiji
3bdrm Apartment in Kileleshwa for sale,15500000,"Nairobi, Kileleshwa",160,3,3,Unfurnished,,2237195,False,True,active,/kileleshwa/houses-apartments-for-sale/3bdrm-apartment-in-kileleshwa-for-sale-BbfnPjnQ0XgoQMNFgLQIBT9p.html,,"Nairobi, Kileleshwa, 11 min ago",,Newly-Built,,SPLENDOR HOLDINGS,5 y 5 m on Jiji
"3bdrm Bungalow in Mugutha, Ruiru for sale",10500000,"Kiambu, Ruiru",320,3,3,Unfurnished,Agent,3034376,False,True,active,/ruiru/houses-apartments-for-sale/3bdrm-bungalow-in-mugutha-ruiru-for-sale-oVQ71m1V80C3e82D9JEcZNsx.html,,"Kiambu, Ruiru, 11 min ago",,Newly-Built,4,The Super Agent,4 y 6 m on Jiji
1bdrm Block of Flats in Kahawa Sukari Estate for Sale,55000000,"Kahawa, Kahawa Sukari",3200,1,1,Semi-Furnished,,2097158,False,True,active,/kahawa-sukari/houses-apartments-for-sale/1bdrm-block-of-flats-in-kahawa-sukari-estate-for-sale-mrMCEUqpYQQ2Ta4gBOt9lunD.html,,"Nairobi, Kahawa, Kahawa Sukari, 12 min ago",,Fairly Used,,Chris Mwangi,5 y 8 m on Jiji
2bdrm Block of Flats in Kiambu for Sale,40000000,"Kiambu / Kiambu , Kiambu CBD",3200,2,1,Semi-Furnished,,2097158,False,True,active,/kiambu-cbd/houses-apartments-for-sale/2bdrm-block-of-flats-in-kiambu-for-sale-2U0CbPEPT5p0Gj93Vb9kgM02.html,,"Kiambu, Kiambu / Kiambu , Kiambu CBD, 12 min ago",,Renovated,,Chris Mwangi,5 y 8 m on Jiji
1bdrm Block of Flats in Kamakis Street for sale,29000000,"Ruiru, Kamakis",3200,1,1,Semi-Furnished,Agent,2097158,False,True,active,/kamakis/houses-apartments-for-sale/1bdrm-block-of-flats-in-kamakis-street-for-sale-adMqlKTREeS4rnVleb23dGu0.html,,"Kiambu, Ruiru, Kamakis, 12 min ago",,Newly-Built,1,Chris Mwangi,5 y 8 m on Jiji
"Furnished 3bdrm Block of Flats in Kinoo, Regen for Sale",130000000,"Kikuyu, Regen",4800,3,3,Furnished,,2097158,False,True,active,/regen/houses-apartments-for-sale/furnished-3bdrm-block-of-flats-in-kinoo-regen-for-sale-ucA0cjDnw8sWlfd39wdaRr0.html,,"Kiambu, Kikuyu, Regen, 12 min ago",,Newly-Built,,Chris Mwangi,5 y 8 m on Jiji
2bdrm Block of Flats in Season Estate for sale,42000000,"Kasarani, Seasons Estate",3200,2,1,Unfurnished,Agent,2097158,False,True,active,/seasons-estate/houses-apartments-for-sale/2bdrm-block-of-flats-in-season-estate-for-sale-ljF2QetaII94UtFOQKO7Rmjz.html,,"Nairobi, Kasarani, Seasons Estate, 12 min ago",,Fairly Used,1,Chris Mwangi,5 y 8 m on Jiji
"3bdrm Bungalow in Valley Street, Mombasa Road for sale",8300000,"Nairobi, Mombasa Road",3200,3,1,Semi-Furnished,Owner,2097158,False,True,active,/mombasa-road/houses-apartments-for-sale/3bdrm-bungalow-in-valley-street-mombasa-road-for-sale-pbIJiXXKOixOIiIRWtbdI4qA.html,,"Nairobi, Mombasa Road, 12 min ago",,Renovated,1,Chris Mwangi,5 y 8 m on Jiji
"4bdrm Bungalow in Mtwapa, Watamu for sale",28000000,"Kilifi North, Watamu",5000,4,4,Unfurnished,,2503554,False,True,active,/watamu/houses-apartments-for-sale/4bdrm-bungalow-in-mtwapa-watamu-for-sale-eNOmohPDPp2qOyQfK28zeK0C.html,,"Kilifi, Kilifi North, Watamu, 12 min ago",,Fairly Used,,Afrique Properties Ltd,5 y on Jiji
4bdrm Mansion in Kitisuru Kiambu Kiambu for sale,80000000,"Kiambu, Kiambu / Kiambu ",4500,4,3,Unfurnished,,2503554,False,True,active,/kiambu-kiambu/houses-apartments-for-sale/4bdrm-mansion-in-kitisuru-kiambu-kiambu-for-sale-fePMgWGXvnzvfpwg9fVjfAGB.html,,"Kiambu, Kiambu / Kiambu , 12 min ago",,Fairly Used,,Afrique Properties Ltd,5 y on Jiji
"3bdrm Apartment in Garden Estate, Thome for sale",16000000,"Nairobi, Thome",210,3,2,Unfurnished,,2503554,False,True,active,/thome/houses-apartments-for-sale/3bdrm-apartment-in-garden-estate-thome-for-sale-3QszlI8OjJgTTUVLFsvFpLNG.html,,"Nairobi, Thome / Nairobi, 12 min ago",,Fairly Used,,Afrique Properties Ltd,5 y on Jiji
"4bdrm Villa in Ngong, Oluulua for sale",24500000,"Ngong, Oluulua",510,4,4,Unfurnished,,5306537,False,True,active,/oluulua/houses-apartments-for-sale/4bdrm-villa-in-ngong-oluulua-for-sale-jWxgcEvFvEtvMFtyonzTQy3I.html,,"Kajiado, Ngong, Oluulua, 3 hours ago",,Newly-Built,,Tysons Limited,1 y 10 m on Jiji
4bdrm Bungalow in Kimumu for sale,13500000,"Moiben, Kimumu",1000,4,3,Unfurnished,,1942628,False,True,active,/kimumu-moiben/houses-apartments-for-sale/4bdrm-bungalow-in-kimumu-for-sale-wF3OSr75nyjcRJLNJbB1DSTr.html,,"Uasin Gishu, Moiben, Kimumu, 12 min ago",,Fairly Used,,Kip kipchaba,6 y on Jiji
"3bdrm Bungalow in Ongata Rongai Kamura, Nkoroi for sale",6800000,"Ongata Rongai, Nkoroi",250,3,2,Unfurnished,,1080234,False,True,active,/nkoroi/houses-apartments-for-sale/3bdrm-bungalow-in-ongata-rongai-kamura-nkoroi-for-sale-zJuY4lx2CFVOrcCFuo6k3Nto.html,,"Kajiado, Ongata Rongai, Nkoroi, 12 min ago",,Newly-Built,,Prophexodus General Agencies,6 y 1 m on Jiji
4bdrm Mansion in Ruiru for sale,31000000,"Kiambu, Ruiru",310,4,4,Unfurnished,,1108755,False,True,active,/ruiru/houses-apartments-for-sale/4bdrm-mansion-in-ruiru-for-sale-6d1tJKrhYwn0wuvraGzuiPWe.html,,"Kiambu, Ruiru, 12 min ago",,Fairly Used,4,Craiova Realtors,6 y 1 m on Jiji
2bdrm Apartment in Westlands for sale,11700000,"Nairobi, Westlands",87,2,2,Unfurnished,,1108755,False,True,active,/westlands/houses-apartments-for-sale/2bdrm-apartment-in-westlands-for-sale-8agV0FnFi5cCtf4OxCGd1sdc.html,,"Nairobi, Westlands, 12 min ago",,Under construction,2,Craiova Realtors,6 y 1 m on Jiji
2bdrm Apartment in Kilimani for sale,7500000,"Nairobi, Kilimani",85,2,2,Unfurnished,,1787892,False,True,active,/kilimani/houses-apartments-for-sale/2bdrm-apartment-in-kilimani-for-sale-93hROMnp5zTzbT55X1zZdSGe.html,,"Nairobi, Kilimani, 13 min ago",,Newly-Built,,Spacelux,6 y 1 m on Jiji
Kyuna Massionet for Sale,49000000,"Westlands, Kyuna Estate",400,4,4,Unfurnished,,537744,False,True,active,/kyuna-estate/houses-apartments-for-sale/kyuna-massionet-for-sale-bjU5J5cirrSBI3sycVurbHce.html,,"Nairobi, Westlands, Kyuna Estate, 13 min ago",,Newly-Built,,Homestage kenya ltd,6 y 1 m on Jiji
"5bdrm Mansion in Ruiru, Kimbo for sale",15000000,"Ruiru, Kimbo",97,5,4,Semi-Furnished,Agent,2849158,False,True,active,/kimbo/houses-apartments-for-sale/5bdrm-mansion-in-ruiru-kimbo-for-sale-uu4KjdCA3uVfjCN9GiZGQ1R0.html,,"Kiambu, Ruiru, Kimbo, 12 min ago",,Fairly Used,3,Easton kenya,4 y 9 m on Jiji
"4bdrm House in Mugutha, Ruiru for sale",15800000,"Kiambu, Ruiru",980,4,4,Unfurnished,Agent,2849158,False,True,active,/ruiru/houses-apartments-for-sale/4bdrm-house-in-mugutha-ruiru-for-sale-wRXw2z5ZS5FhblgCDQkuHGpS.html,,"Kiambu, Ruiru, 12 min ago",,Newly-Built,4,Easton kenya,4 y 9 m on Jiji
"1bdrm Apartment in Yaya Centre, Kilimani for sale",5800000,"Nairobi, Kilimani",58,1,1,Unfurnished,Agent,4594030,False,True,active,/kilimani/houses-apartments-for-sale/1bdrm-apartment-in-yaya-centre-kilimani-for-sale-uEAVofjLahD47jOhAiqqmuv.html,,"Nairobi, Kilimani, 3 hours ago",,Under construction,1,PATTO AGENT,2 y 9 m on Jiji
2bdrm Apartment in Lavington for sale,8500000,"Nairobi, Lavington",100,2,2,Unfurnished,,1787892,False,True,active,/lavington/houses-apartments-for-sale/2bdrm-apartment-in-lavington-for-sale-fRO003xQrzbsrJM2nnm2SO0A.html,,"Nairobi, Lavington, 13 min ago",,Newly-Built,2,Spacelux,6 y 1 m on Jiji
"4bdrm Apartment in Plus A Dsq, Kileleshwa for sale",25000000,"Nairobi, Kileleshwa",272,4,5,Unfurnished,,4594030,False,True,active,/kileleshwa/houses-apartments-for-sale/4bdrm-apartment-in-plus-a-dsq-kileleshwa-for-sale-zpPzNsGlGU9Z7wXYfCZZ7gmk.html,,"Nairobi, Kileleshwa, 3 hours ago",,Under construction,,PATTO AGENT,2 y 9 m on Jiji
1bdrm Apartment in Kileleshwa for sale,6400000,"Nairobi, Kileleshwa",76,1,1,Unfurnished,Agent,4594030,False,True,active,/kileleshwa/houses-apartments-for-sale/1bdrm-apartment-in-kileleshwa-for-sale-aKmr0S7CjWfu2AB26KP5orgb.html,,"Nairobi, Kileleshwa, 3 hours ago",,Newly-Built,1,PATTO AGENT,2 y 9 m on Jiji
2bdrm Apartment in Kilimani for sale,9200000,"Nairobi, Kilimani",91,2,2,Unfurnished,Agent,4594030,False,True,active,/kilimani/houses-apartments-for-sale/2bdrm-apartment-in-kilimani-for-sale-3PhgyOWm6MvZiPXtpxL1dPim.html,,"Nairobi, Kilimani, 3 hours ago",,Under construction,2,PATTO AGENT,2 y 9 m on Jiji
"3bdrm Bungalow in Milimani, Kitengela for sale",7200000,"Kajiado, Kitengela",130,3,3,Unfurnished,Agent,4624007,False,True,active,/kitengela/houses-apartments-for-sale/3bdrm-bungalow-in-milimani-kitengela-for-sale-rglyfAMQ6040MG04nDnA2CFV.html,,"Kajiado, Kitengela, 3 hours ago",,Newly-Built,4,Swalam Limited,2 y 9 m on Jiji
"Furnished 5bdrm Maisonette in Mumbuni, Machakos Town for sale",12000000,"Machakos, Machakos Town",500,5,5,Furnished,,2404247,False,True,active,/machakos-central/houses-apartments-for-sale/furnished-5bdrm-maisonette-in-mumbuni-machakos-town-for-sale-iO2I9iDiABoEgcco7Ss5gdrD.html,,"Machakos, Machakos Town, 12 min ago",,Newly-Built,,Raphael Ngumbi,5 y 2 m on Jiji
"3bdrm Bungalow in Kalimoni, Juja for sale",11200000,"Kiambu, Juja",3200,3,3,Unfurnished,,799803,False,True,active,/juja/houses-apartments-for-sale/3bdrm-bungalow-in-kalimoni-juja-for-sale-BTKfexQL96sknEi1VUc9wNuQ.html,,"Kiambu, Juja, 13 min ago",,Newly-Built,3,Liz K,6 y 1 m on Jiji
"4bdrm Maisonette in Mugutha, Ruiru for sale",15000000,"Kiambu, Ruiru",3200,4,4,Unfurnished,,799803,False,True,active,/ruiru/houses-apartments-for-sale/4bdrm-maisonette-in-mugutha-ruiru-for-sale-yORuXvLfbgNOpCAZIREknSla.html,,"Kiambu, Ruiru, 13 min ago",,Newly-Built,4,Liz K,6 y 1 m on Jiji
